# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
55399,4027.673175,12746.653366,1.299739,9.952728,11.252467
55599,4061.101737,13320.813172,1.301251,9.994471,11.295723
55799,4089.618734,12017.343878,1.302711,10.023713,11.326424
55999,4114.939459,11179.421761,1.304073,10.047935,11.352008
56199,4137.515536,10458.817201,1.317031,10.076019,11.393050
56399,4163.883007,11573.142463,1.318571,10.114709,11.433281
56599,4182.266485,9366.407148,1.319920,10.141329,11.461249
56799,4200.638118,9399.810285,1.321512,10.172201,11.493714
56999,4220.837560,9957.479090,1.323191,10.202270,11.525461
57199,4233.827064,7935.835823,1.338525,10.227730,11.566256
57399,4246.264080,7803.250673,1.339726,10.255819,11.595546
57599,4259.674014,8108.325053,1.341260,10.288037,11.629297
57799,4268.666842,6858.601108,1.342817,10.318152,11.660969
57999,4290.856401,10703.639017,1.345136,10.362109,11.707245
58199,4310.258424,9936.845208,1.360346,10.395166,11.755512
58399,4319.061361,6880.715877,1.361562,10.422921,11.784483
58599,4328.484100,7079.923845,1.362956,10.452328,11.815284
58799,4344.616345,9071.364258,1.364237,10.477149,11.841386
58999,4359.643793,8777.713596,1.365986,10.507135,11.873120
59199,4366.668833,6439.055593,1.381022,10.540366,11.921389
59399,4374.157498,6590.802370,1.382294,10.568888,11.951182
59599,4381.957872,6698.668692,1.383832,10.601007,11.984840
59799,4392.640341,7576.016206,1.385371,10.629763,12.015134
59999,4401.664690,7099.945135,1.386931,10.657497,12.044429
60199,4408.333442,6408.959011,1.402183,10.690218,12.092401
60399,4418.658583,7526.526016,1.403642,10.727306,12.130948
60599,4422.580278,5606.932096,1.404974,10.754307,12.159281
60799,4426.738066,5686.547955,1.406387,10.780372,12.186759
60999,4432.427425,6161.992468,1.408298,10.811653,12.219951
61199,4438.414480,6264.466149,1.424681,10.839380,12.264060
61399,4444.167510,6204.594908,1.426087,10.875473,12.301560
61599,4446.479303,5156.199767,1.427493,10.908174,12.335666
61799,4451.215820,5910.063109,1.429550,10.956350,12.385900
61999,4462.313399,7891.465227,1.431704,10.993933,12.425637
62199,4463.951499,4971.762383,1.447881,11.024018,12.471898
62399,4465.568910,4968.583642,1.449339,11.060835,12.510174
62599,4468.646447,5428.838232,1.450596,11.087195,12.537790
62799,4472.017901,5527.282745,1.452132,11.118691,12.570823
62999,4473.003579,4782.506545,1.453706,11.146307,12.600014
63199,4473.810021,4727.839280,1.469623,11.175502,12.645124
63399,4473.966631,4523.455415,1.471023,11.207507,12.678530
63599,4478.406327,5885.789846,1.472477,11.236629,12.709105
63799,4482.188681,5684.977334,1.473977,11.264418,12.738395
63999,4486.858740,5976.607492,1.475656,11.296276,12.771933
64199,4493.136199,6501.923361,1.540861,11.327248,12.868109
64399,4497.477621,5891.074014,1.542087,11.355808,12.897895
64599,4501.924329,5933.764180,1.543320,11.381726,12.925045
64799,4506.117417,5860.484963,1.544843,11.410870,12.955713
64999,4512.904642,6711.965498,1.546473,11.440158,12.986631
65199,4521.712464,7384.254732,1.559005,11.472646,13.031651
65399,4522.920771,4916.828535,1.560200,11.500215,13.060415
65599,4527.897046,6155.138996,1.561696,11.530285,13.091981
65799,4530.112671,5256.837787,1.562990,11.555351,13.118341
65999,4534.878851,6102.952252,1.564419,11.582177,13.146596
66199,4540.002140,6230.687246,1.576632,11.610317,13.186948
66399,4540.979093,4864.350653,1.578260,11.649587,13.227846
66599,4542.333691,4992.060329,1.579725,11.679692,13.259416
66799,4544.111955,5136.273680,1.581169,11.706563,13.287731
66999,4548.690165,6077.812349,1.582802,11.734261,13.317064
67199,4548.928570,4628.794277,1.594244,11.764440,13.358684
67399,4552.413971,5723.508596,1.595965,11.815532,13.411497
