# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
57599,2131.819082,1641.672610,1.465533,12.327877,13.793410
57799,2129.124488,1353.081516,1.467977,12.371452,13.839429
57999,2126.037263,1233.829073,1.470528,12.414632,13.885160
58199,2123.064285,1260.900663,1.478718,12.458131,13.936849
58399,2120.137226,1268.363075,1.480928,12.501550,13.982478
58599,2117.849124,1449.723357,1.483240,12.545128,14.028368
58799,2115.404000,1398.982725,1.485670,12.588136,14.073806
58999,2112.397182,1228.392608,1.488214,12.631186,14.119400
59199,2110.002868,1403.680218,1.496261,12.674071,14.170332
59399,2107.355385,1323.700505,1.498454,12.717238,14.215691
59599,2104.164456,1156.458521,1.500762,12.760228,14.260990
59799,2102.682005,1660.911712,1.503176,12.803320,14.306496
59999,2100.290600,1385.260591,1.505732,12.846656,14.352388
60199,2098.026553,1418.812175,1.513883,12.890444,14.404328
60399,2094.815295,1128.226673,1.516087,12.933772,14.449858
60599,2092.600859,1423.841194,1.518408,12.976947,14.495355
60799,2090.198039,1362.143641,1.520824,13.019899,14.540724
60999,2088.416015,1546.680664,1.523367,13.062940,14.586307
61199,2087.108836,1688.419431,1.531510,13.106876,14.638386
61399,2085.615869,1628.767745,1.533714,13.150177,14.683891
61599,2082.868625,1239.464882,1.536029,13.193280,14.729309
61799,2081.079054,1529.891279,1.538443,13.236553,14.774996
61999,2078.472056,1272.909670,1.540980,13.279966,14.820946
62199,2076.018129,1315.300689,1.549026,13.322822,14.871848
62399,2073.843644,1397.578661,1.551252,13.366388,14.917639
62599,2071.469513,1330.740847,1.553555,13.409348,14.962904
62799,2069.911154,1582.144523,1.555970,13.452106,15.008076
62999,2067.888501,1432.775477,1.558508,13.494957,15.053465
63199,2066.035883,1482.461441,1.566803,13.538052,15.104855
63399,2063.139030,1147.733300,1.569040,13.581847,15.150887
63599,2060.989955,1379.733323,1.571350,13.625011,15.196361
63799,2059.772440,1672.602565,1.573770,13.668198,15.241968
63999,2057.543962,1346.659409,1.576292,13.711553,15.287845
64199,2055.812232,1501.658709,1.584601,13.755136,15.339736
64399,2054.155617,1522.382079,1.586809,13.798714,15.385523
64599,2052.290114,1451.598308,1.589133,13.841874,15.431008
64799,2050.422045,1447.035637,1.591578,13.884997,15.476575
64999,2048.109399,1298.812231,1.594112,13.928146,15.522258
65199,2045.797048,1294.282817,1.602389,13.971789,15.574178
65399,2044.017609,1463.920731,1.604634,14.015295,15.619930
65599,2042.217120,1453.456986,1.606962,14.058558,15.665520
65799,2039.640518,1194.515212,1.609372,14.101650,15.711022
65999,2037.641127,1379.841480,1.611885,14.144862,15.756747
66199,2036.082638,1521.781419,1.617437,14.187555,15.804993
66399,2035.727977,1918.335078,1.619627,14.230388,15.850014
66599,2033.578733,1320.029808,1.621934,14.273045,15.894979
66799,2031.586674,1368.230984,1.624352,14.315807,15.940159
66999,2030.681538,1728.365851,1.626916,14.359087,15.986004
67199,2029.562115,1654.555729,1.632503,14.402077,16.034580
67399,2028.574163,1696.622276,1.634685,14.444761,16.079446
67599,2027.747658,1749.215280,1.636994,14.487667,16.124661
67799,2025.488399,1261.858879,1.639433,14.530887,16.170320
67999,2023.997727,1518.659995,1.641989,14.574034,16.216022
